GAPDH,c_myc
22.6311711842371,25.547254291053
22.599770204237,25.6479798506115
22.5745988105315,25.5713640983838
23.6945279981244,26.6649142664115
23.7062203460565,26.6233815877829
23.78511487731,26.7248867745465
25.125747557209,28.0932025699416
25.1055179508961,28.1392430849818
25.1130627975306,28.0888172138518
26.162681764403,29.2397466273308
26.2083167035698,29.1227287765941
26.1432565663946,29.1162108334302
27.2275696435382,30.1126641375011
27.1738675290366,30.1246697148258
27.1234247663217,30.1366914351683
28.5635548000907,31.2802581688224
28.5653368144216,31.3636491680394
28.5625260039865,31.2975939473529
29.5367552941346,32.4807267070589
29.4721943393689,32.4714949626573
29.3534347400492,32.1385162756845
